,Address,ITM_E,ITM_N,Geo Co-ordinates
256,"Garshooey, Newtowncunningham, donegal",636216,915254,POINT (-7.4341990097171 54.98358673734384)
257,"Greenan TD, Lough Eske,, Donegal PO, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
258,"Falmore, Gleneely, donegal",701188,811312,POINT (-6.455074334625525 54.04104300702218)
259,"Gledbe Td., Killybegs, donegal",571675,878670,POINT (-8.438946039634111 54.65541066333495)
260,"Causeway Road, Buncrana, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
261,"Old Road, Mountcharles, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
262,"Cloughfin, Lifford , donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
263,"Ardsbeg, Gortahork,, Letterkenny PO, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
264,"Stramore, Glendoan, donegal",601789,913139,POINT (-7.97206296748544 54.96589714388774)
265,"Nail or Inga, Killimor, galway",560811,728078,POINT (-8.587927264423259 53.30154159709769)
266,"Benmore, Bullaun, Loughrea, galway",534257,646461,POINT (-8.969714481518992 52.56548282830134)
267,"Shanvally, Portumna, galway",581414,704435,POINT (-8.277464618037877 53.09018376429338)
268,"Treanpark Glinsk, Ballymoe, galway",567660,771695,POINT (-8.489675971325283 53.69396232224864)
269,"Lakeview, Claregalway, galway",537346,731843,POINT (-8.940658913184286 53.33311872182722)
270,"Newhall, Gort, galway",547374,706664,POINT (-8.78596685099453 53.10794533568472)
271,"King Street, Loughrea, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
272,"Cregmore, Claregalway, galway",541412,733254,POINT (-8.879882940750216 53.3462633663518)
273,"Ard West, Carna, galway",474866,731911,POINT (-9.878317710016772 53.32265143142853)
274,"Knockbrack, Athenry, galway",551589,778616,POINT (-8.734079009576442 53.75491002757573)
275,"Carramore, Balluan, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
276,"Derrynane Beg, Caherdaniel , kerry",455431,560471,POINT (-10.09515907811889 51.77784449948157)
277,"Scrahan, Duagh , kerry",506457,628194,POINT (-9.374530917659966 52.39727457896872)
278,"Ballygamboon Lower, Castlemaine, kerry",486115,604229,POINT (-9.665218193852089 52.17810335236288)
279,"Laharn , Milltown, kerry",480831,600366,POINT (-9.741087395475303 52.1422803989802)
280,"Baslicon, Waterville, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
